BBLCOUNT        1.0         0
0x7fa7b9258813 0 2 9
0x7fa7b9258800 1 3 8
0x7fa7b925868b 1 3 8
0x7fa7b9258693 4 2 4
0x7fa7b9258697 0 4 13
0x7fa7b9258667 1 3 10
0x7fa7b92586a4 0 2 5
0x7fa7b9258678 4 5 17
0x7fa7b9258689 3 4 10
0x7fa7b92587d5 1 4 13
0x7fa7b9258808 2 3 11
0x7fa7b92587e2 1 2 6
0x7fa7b92587e8 1 3 10
0x7fa7b925890c 1 5 27
0x7fa7b92588fc 1 3 16
0x7fa7b925888d 0 22 111
0x7fa7b9258927 1 2 9
0x7fa7b92588db 3 10 33
0x7fa7b9258930 1 6 35
0x7fa7b925890c 0 5 27
0x7fa7b92588fc 0 3 16
0x7fa7b9258897 1 21 101
0x7fa7b92589bd 0 1 5
0x7fa7b9258998 1 6 37
0x7fa7b9258988 1 6 11
0x7fa7b9258983 1 1 5
0x7fa7b9258860 1 11 35
0x7fa7b9258883 0 3 10
0x7fa7b9258953 1 10 48
0x7fa7b9258a10 1 13 48
0x7fa7b9258ac1 1 12 68
0x7fa7b9258abd 1 2 4
0x7fa7b9258a63 1 6 24
0x7fa7b9258a7b 1 2 5
0x7fa7b9258a80 1 5 21
0x7fa7b9258ab3 1 2 10
0x7fa7b9258aaa 1 2 9
0x7fa7b9258a95 1 4 21
0x7fa7b9258b05 1 2 7
0x7fa7b9258a57 1 4 12
0x7fa7b9258a49 1 4 14
0x7fa7b9258b0c 1 2 7
0x7fa7b9258a57 0 4 12
0x7fa7b9258a40 0 8 23
0x7fa7b92656a0 1 16 81
0x7fa7b926bf40 1 18 87
0x7fa7b926bfa0 1 5 10
0x7fa7b926bfaa 0 4 13
0x7fa7b926bfbf 1 4 7
0x7fa7b926bfe0 1 2 7
0x7fa7b926eb76 0 3 9
0x7fa7b926eb95 1 4 19
0x7fa7b926eb20 1 9 23
0x7fa7b926ebb4 1 2 7
0x7fa7b926ebab 1 3 9
0x7fa7b926eb37 1 3 9
0x7fa7b926eb40 1 6 21
0x7fa7b926eb55 1 5 21
0x7fa7b926eb6a 1 2 6
0x7fa7b926eb70 0 2 6
0x7fa7b926ebe0 1 6 25
0x7fa7b926ebf9 1 1 5
0x7fa7b926eb40 1 6 21
0x7fa7b926eb55 0 5 21
0x7fa7b926eb6a 0 2 6
0x7fa7b926eb7f 1 4 17
0x7fa7b926eb90 1 2 5
0x7fa7b926eba8 1 1 3
0x7fa7b926ec30 1 4 21
0x7fa7b926ecd6 1 3 12
0x7fa7b926eca0 1 8 25
0x7fa7b926ecb9 0 2 14
0x7fa7b926ecc7 0 1 2
0x7fa7b926ecc9 1 2 13
0x7fa7b926ece2 1 6 23
0x7fa7b926ed37 1 5 19
0x7fa7b926ed4a 0 2 5
0x7fa7b926edb4 1 3 14
0x7fa7b926ed72 1 4 24
0x7fa7b926ed8a 0 2 13
0x7fa7b926ed97 0 1 2
0x7fa7b926ed99 1 2 12
0x7fa7b926eda5 1 5 10
0x7fa7b926ee60 1 8 25
0x7fa7b926ee7e 1 12 42
0x7fa7b926ee79 1 2 5
0x7fa7b926f228 1 4 5
0x7fa7b926f190 0 3 16
0x7fa7b926f180 1 3 16
0x7fa7b926f170 1 5 16
0x7fa7b927d0b0 10040 6 25
0x7fa7b927d0c9 0 2 5
0x7fa7b927d177 40 2 4
0x7fa7b927d0ce 0 3 7
0x7fa7b927d140 10040 14 55
0x7fa7b927d177 10000 2 4
0x7fa7b927d150 118 12 39
0x7fa7b92811c7 10040 6 20
0x7fa7b927db0b 10040 2 9
0x7fa7b927db3b 0 1 6
0x7fa7b9280f38 10040 4 25
0x7fa7b927db2e 10040 2 13
0x7fa7b927db3b 0 1 6
0x7fa7b927db41 0 2 14
0x7fa7b92811be 10040 2 9
0x7fa7b92811b1 10040 2 13
0x7fa7b9280e78 0 5 25
0x7fa7b9281173 0 6 21
0x7fa7b9280c09 10040 2 15
0x7fa7b9280b5b 10040 8 40
0x7fa7b9280b83 10040 4 28
0x7fa7b9280b9f 0 2 13
0x7fa7b927db14 0 6 39
0x7fa7b9280bac 0 5 26
0x7fa7b9280ea4 10040 2 13
0x7fa7b9280eb1 0 6 32
0x7fa7b9280b9f 10040 2 13
0x7fa7b9280bac 0 5 26
0x7fa7b9280bc6 0 2 14
0x7fa7b9280e6b 10040 2 13
0x7fa7b927d373 0 2 8
0x7fa7b927d290 20080 17 59
0x7fa7b927d2cb 0 4 23
0x7fa7b927d2e2 0 2 9
0x7fa7b927d3b0 20080 2 9
0x7fa7b927d3b9 0 2 7
0x7fa7b927d2d5 20080 3 13
0x7fa7b927d2e2 20080 2 9
0x7fa7b927d2eb 20080 2 10
0x7fa7b927d440 10040 4 14
0x7fa7b927d2f5 10040 9 45
0x7fa7b927d322 10040 5 33
0x7fa7b927d343 10040 7 29
0x7fa7b927d360 10000 3 19
0x7fa7b928116e 0 2 5
