Alignment,Time
0,3786014.32
1,3736698.27
2,3737224.14
3,3735054.76
4,3735818.57
5,3735576.09
6,3736318.23
7,3735842.43
8,3736232.55
9,3735117.68
10,3736402.58
11,3735840.76
12,3736096.11
13,3735182.42
14,3736789.76
15,3735743.45
16,3735382.75
17,3735927.94
18,3737068.18
19,3735496.93
20,3735461.80
21,3735985.91
22,3735072.73
23,3736061.87
24,3735408.68
25,3735362.33
26,3735789.22
27,3736140.73
28,3734888.54
29,3735881.90
30,3735391.35
31,3743736.74
32,3735411.00
33,3736514.19
34,3735733.87
35,3735648.92
36,3735599.25
37,3736156.64
38,3734937.31
39,3736170.78
40,3735407.47
41,3735309.29
42,3736036.89
43,3736204.94
44,3735669.48
45,3735420.37
46,3739317.89
47,3737576.78
48,3735822.29
49,3735934.31
50,3735290.59
51,3735627.18
52,3736064.52
53,3735488.26
54,3735698.60
55,3735539.84
56,3767726.37
57,3735141.78
58,3736089.15
59,3735542.70
60,3735347.04
61,3735528.31
62,3739653.01
63,3736972.74
64,3735969.60
